CY,PCY,FY,PFY,L90,B1_ALT_ID,CAT1,DATE1,DATE2,DATE3,TOPIC,ALLEGATION,SOURCE,LANGUAGE,REQUEST_TYPE,OUTCOME,ENFO_OUTCOME,STATUS,STAFF,ENFO_RECORD
0,0,0,1,0,2020-08233-INT,INTAKE_RECEIVED,8/31/2020 13:18,,,Other,,Direct Call,Spanish,Information Request,Information Provided,,,Q,
0,1,0,1,0,2021-20166-INT,INTAKE_RECEIVED,3/30/2021 0:00,,,Paid Safe and Sick Leave,,,English,Information Request,Information Provided,,,P,
0,0,0,1,0,2020-04749-INT,INTAKE_RECEIVED,7/13/2020 10:12,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,Z,
0,0,0,1,0,2020-10091-INT,INTAKE_RECEIVED,9/25/2020 15:27,,,Wage & Hour,,Email,English,Information Request,,,,P,
0,1,0,1,0,2021-18078-INT,INTAKE_RECEIVED,2/17/2021 0:00,,,Wage & Hour,,Email,English,Information Request,Information Provided,,,V,
1,0,1,0,1,2022-25689-INT,INTAKE_RECEIVED,1/4/2022 0:00,,,Wage & Hour,,Email,English,Information Request,Information Provided,Decision Made Not to Docket,,W,
0,1,0,1,0,2021-22052-INT,INTAKE_RECEIVED,5/19/2021 16:47,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,E,
0,0,0,1,0,2020-08880-INT,INTAKE_RECEIVED,9/9/2020 14:10,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,J,
0,0,0,1,0,2020-09352-INT,INTAKE_RECEIVED,9/16/2020 10:05,,,Health & Safety,,Call from Hotline,English,Complaint,Information Provided,,,F,
0,1,0,1,0,2021-17471-INT,INTAKE_RECEIVED,2/4/2021 15:24,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,T,
0,0,0,1,0,2020-07050-INT,INTAKE_RECEIVED,8/10/2020 16:37,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,N,
0,0,0,0,0,2020-03264-INT,INTAKE_RECEIVED,6/12/2020 0:00,,,Unemployment Insurance,,Call from Hotline,English,Information Request,Information Provided,,,Y,
0,0,0,0,0,2020-01418-INT,INTAKE_RECEIVED,4/6/2020 12:48,,,Paid Safe and Sick Leave,,Call from 311,English,Information Request,Information Provided,,,M,
0,0,0,1,0,2020-13732-INT,INTAKE_RECEIVED,11/25/2020 11:32,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,V,
0,0,0,1,0,2020-04736-INT,INTAKE_RECEIVED,7/13/2020 9:23,,,Paid Safe and Sick Leave,,Call from Hotline,English,Complaint,Information Provided,,,F,
0,1,1,0,1,2021-24978-INT,INTAKE_RECEIVED,11/19/2021 15:07,11/22/2021 11:04,3,Fair Scheduling - Fast Food,Did not provide Good Faith Estimate/Regular schedule,Email,English,Complaint,Assigned for Review,Intake Linked to Existing Matter,,R,2019-00649-ENF
0,0,0,1,0,2020-04324-INT,INTAKE_RECEIVED,7/7/2020 11:54,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,I,
0,0,0,0,0,2020-02998-INT,INTAKE_RECEIVED,6/16/2020 14:32,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,I,
0,0,0,1,0,2020-10357-INT,INTAKE_RECEIVED,10/1/2020 10:44,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,O,
0,1,1,0,0,2021-23528-INT,INTAKE_RECEIVED,7/12/2021 12:52,,,Fair Scheduling - Fast Food,,Email,English,Information Request,,,,L,
0,0,0,1,0,2020-04653-INT,INTAKE_RECEIVED,7/9/2020 17:53,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,P,
0,0,0,0,0,2020-00981-INT,INTAKE_RECEIVED,3/20/2020 0:00,,,Other,,Email,English,Information Request,Information Provided,,,E,
0,0,0,0,0,2020-02267-INT,INTAKE_RECEIVED,5/19/2020 15:31,,,Freelance Isn't Free,,Call from 311,English,Information Request,Information Provided,,,N,
0,1,0,1,0,2021-21136-INT,INTAKE_RECEIVED,4/26/2021 12:52,,,Other,,Email,English,Information Request,,,,E,
1,0,1,0,1,2022-26277-INT,INTAKE_RECEIVED,1/18/2022 0:00,,,Paid Safe and Sick Leave,,Email,English,Information Request,Information Provided,,,T,
0,1,0,1,0,2021-22213-INT,INTAKE_RECEIVED,5/26/2021 10:08,,,Fair Workweek,,Email,English,Information Request,Information Provided,Decision Made Not to Docket,,V,
0,0,0,1,0,2020-05002-INT,INTAKE_RECEIVED,7/14/2020 16:50,,,Paid Safe and Sick Leave,,Call from Hotline,English,Information Request,,,,M,
0,0,0,1,0,2020-15324-INT,INTAKE_RECEIVED,12/28/2020 12:35,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,O,
0,0,0,1,0,2020-14724-INT,INTAKE_RECEIVED,12/11/2020 11:10,,,Paid Safe and Sick Leave,,Call from Hotline,English,Information Request,Information Provided,,,W,
0,0,0,1,0,2020-13905-INT,INTAKE_RECEIVED,11/30/2020 15:37,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,L,
0,0,0,1,0,2020-05504-INT,INTAKE_RECEIVED,7/20/2020 16:42,,,Paid Safe and Sick Leave,,Call from Hotline,English,Information Request,Information Provided,,,W,
0,0,0,1,0,2020-08144-INT,INTAKE_RECEIVED,8/28/2020 13:08,8/28/2020 14:06,0,Freelance Isn't Free,Non-pmnt on dates agreed/within 30 days if no agreed date,Email,English,Complaint,Assigned for Review,Matter Created,,H,2020-00555-ENF
0,0,0,1,0,2020-12486-INT,INTAKE_RECEIVED,11/4/2020 12:26,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,U,
0,0,0,1,0,2020-07511-INT,INTAKE_RECEIVED,8/17/2020 16:47,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,J,
0,1,0,1,0,2021-23294-INT,INTAKE_RECEIVED,6/30/2021 14:36,7/2/2021 12:51,2,Freelance Isn't Free,,Email,English,Complaint,Assigned for Review,Matter Created,,O,2021-00994-ENF
0,1,1,0,1,2022-25842-INT,INTAKE_RECEIVED,12/28/2021 0:00,,,Paid Safe and Sick Leave,Did not allow use,Email,English,Information Request,Assigned for Review,Matter Created,,P,
0,0,0,1,0,2020-06430-INT,INTAKE_RECEIVED,7/31/2020 14:16,,,Paid Safe and Sick Leave,,Call from 311,English,Information Request,,,,F,
0,0,0,1,0,2020-10918-INT,INTAKE_RECEIVED,10/8/2020 0:00,,,Freelance Isn't Free,,Email,English,Information Request,Information Provided,,,S,
0,0,0,1,0,2020-10246-INT,INTAKE_RECEIVED,9/29/2020 11:08,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,G,
0,1,0,1,0,2021-20949-INT,INTAKE_RECEIVED,4/13/2021 0:00,4/23/2021 10:43,10,Freelance Isn't Free,Asking as a condition of pmnt that you accept less than contract compensation once work began,Email,English,Complaint,Assigned for Review,Matter Created,,O,2021-00867-ENF
0,1,1,0,0,2021-24285-INT,INTAKE_RECEIVED,9/10/2021 0:00,,,Paid Safe and Sick Leave,,E-form from 311,English,Information Request,Information Provided,,,Q,
0,0,0,1,0,2020-06837-INT,INTAKE_RECEIVED,8/6/2020 12:02,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,K,
0,0,0,1,0,2020-06298-INT,INTAKE_RECEIVED,7/30/2020 11:32,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,H,
1,0,1,0,1,2022-25906-INT,INTAKE_RECEIVED,1/3/2022 0:00,,,Fair Scheduling - Fast Food,Regular schedule incomplete/noncompliant,Email,English,Complaint,Assigned for Review,,,N,
0,0,0,1,0,2020-10305-INT,INTAKE_RECEIVED,9/29/2020 14:47,10/13/2020 18:37,14,Freelance Isn't Free,Non-pmnt on dates agreed/within 30 days if no agreed date,Email,English,Complaint,Assigned for Review,Matter Created,,A,2020-00623-ENF
0,1,1,0,0,2021-23712-INT,INTAKE_RECEIVED,7/21/2021 10:17,,,Paid Safe and Sick Leave,,Email,English,Information Request,Information Provided,,,V,
0,0,0,1,0,2020-08387-INT,INTAKE_RECEIVED,9/2/2020 9:11,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,U,
0,0,0,1,0,2020-05775-INT,INTAKE_RECEIVED,7/23/2020 9:33,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,R,
0,1,0,1,0,2021-22850-INT,INTAKE_RECEIVED,6/17/2021 11:30,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,D,
0,1,1,0,0,2021-23896-INT,INTAKE_RECEIVED,8/10/2021 14:31,,,Fair Scheduling - Fast Food,,Direct Call,English,Information Request,Information Provided,,,E,
0,0,0,1,0,2020-15185-INT,INTAKE_RECEIVED,12/21/2020 15:50,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,T,
0,0,0,1,0,2020-06089-INT,INTAKE_RECEIVED,7/28/2020 11:29,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,R,
0,0,0,0,0,2020-03583-INT,INTAKE_RECEIVED,6/26/2020 10:25,,,Other,,Call from Hotline,English,Other,Information Provided,,,V,
0,0,0,1,0,2020-07440-INT,INTAKE_RECEIVED,8/17/2020 11:07,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,L,
0,1,1,0,1,2021-24938-INT,INTAKE_RECEIVED,11/17/2021 9:50,,,Paid Safe and Sick Leave,,Email,English,Information Request,Information Provided,,,J,
0,0,0,0,0,2020-01650-INT,INTAKE_RECEIVED,4/10/2020 13:26,,,Paid Safe and Sick Leave,,Direct Call,English,Information Request,Information Provided,,,L,
0,1,1,0,0,2021-24316-INT,INTAKE_RECEIVED,9/12/2021 0:00,,,Other,,Email,English,Information Request,,,,R,
1,0,1,0,1,2022-26321-INT,INTAKE_RECEIVED,1/20/2022 12:22,,,Paid Safe and Sick Leave,,Email,English,Information Request,Information Provided,,,A,
0,0,0,1,0,2020-10430-INT,INTAKE_RECEIVED,10/2/2020 9:36,,,Health & Safety,,Call from Hotline,English,Complaint,,,,V,
0,1,1,0,0,2021-24627-INT,INTAKE_RECEIVED,10/19/2021 13:04,,,Wage & Hour,,Email,Spanish,Information Request,Information Provided,,,O,
0,1,0,1,0,2021-19888-INT,INTAKE_RECEIVED,3/26/2021 11:31,,,Paid Safe and Sick Leave,,Direct Call,English,Information Request,Information Provided,,,R,
0,1,1,0,0,2021-24297-INT,INTAKE_RECEIVED,9/21/2021 10:11,,,Paid Safe and Sick Leave,,Email,English,Information Request,,,,F,
0,0,0,1,0,2020-10474-INT,INTAKE_RECEIVED,10/2/2020 15:05,,,Other,,Call from Hotline,English,Information Request,,,,C,
0,0,0,0,0,2020-02613-INT,INTAKE_RECEIVED,6/10/2020 9:46,,,Health & Safety,,Call from Hotline,English,Retaliation w/ Termination,Information Provided,,,J,
0,0,0,1,0,2020-07370-INT,INTAKE_RECEIVED,8/14/2020 12:24,,,Paid Safe and Sick Leave,,Call from 311,English,Information Request,Information Provided,,,U,
0,0,0,1,0,2020-05689-INT,INTAKE_RECEIVED,7/22/2020 12:24,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,S,
0,1,0,1,0,2021-16123-INT,INTAKE_RECEIVED,1/12/2021 15:30,,,Health & Safety,,Call from Hotline,English,Complaint,Information Provided,,,T,
0,1,0,1,0,2021-22780-INT,INTAKE_RECEIVED,6/11/2021 12:00,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,Y,
0,0,0,1,0,2020-14718-INT,INTAKE_RECEIVED,10/7/2020 11:50,,,Paid Safe and Sick Leave,,Call from 311,English,Information Request,Information Provided,,,E,
0,0,0,0,0,2020-02367-INT,INTAKE_RECEIVED,5/28/2020 12:09,1/28/2021 14:30,245,Fair Workweek,Fast Food: Failed to provide “premium pay”,,English,Complaint,Assigned for Review,Matter Created,,H,2021-00747-ENF
0,0,0,0,0,2020-02516-INT,INTAKE_RECEIVED,6/9/2020 9:49,,,Freelance Isn't Free,,Call from Hotline,English,Information Request,Information Provided,,,C,
0,1,1,0,0,2021-24680-INT,INTAKE_RECEIVED,10/22/2021 14:20,,,Other,,Email,English,Information Request,Information Provided,,,K,
0,1,0,1,0,2021-19203-INT,INTAKE_RECEIVED,3/15/2021 9:22,,,Health & Safety,,Call from Hotline,English,Complaint,,,,P,
0,0,0,1,0,2020-12322-INT,INTAKE_RECEIVED,10/30/2020 15:53,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,X,
0,1,1,0,1,2021-25513-INT,INTAKE_RECEIVED,12/28/2021 14:27,,,Paid Safe and Sick Leave,,Direct Call,English,Information Request,Information Provided,,,O,
0,1,1,0,0,2021-24557-INT,INTAKE_RECEIVED,10/12/2021 0:00,,,Fair Scheduling - Fast Food,,Email,English,Information Request,Information Provided,Decision Made Not to Docket,,K,
0,0,0,1,0,2020-10880-INT,INTAKE_RECEIVED,10/8/2020 15:58,,,Paid Safe and Sick Leave,,Direct Call,English,Information Request,Information Provided,,,P,
0,0,0,1,0,2020-14844-INT,INTAKE_RECEIVED,12/15/2020 13:02,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,T,
0,0,0,1,0,2020-06706-INT,INTAKE_RECEIVED,8/5/2020 10:30,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,Q,
0,1,0,1,0,2021-19979-INT,INTAKE_RECEIVED,3/29/2021 10:41,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,K,
0,1,1,0,1,2021-25437-INT,INTAKE_RECEIVED,12/17/2021 0:00,1/4/2022 11:06,18,Freelance Isn't Free,Non-pmnt on dates agreed/within 30 days if no agreed date,Email,English,Complaint,Assigned for Review,Matter Created,,N,2022-01276-ENF
0,0,0,0,0,2020-01343-INT,INTAKE_RECEIVED,3/22/2020 0:00,4/3/2020 13:45,12,Freelance Isn't Free,Retal. - threats re: this or future job assignments,Email,English,Complaint,Information Provided,Matter Created,,F,2020-00237-ENF
0,1,1,0,1,2021-25269-INT,INTAKE_RECEIVED,12/14/2021 15:35,,,Paid Safe and Sick Leave,,Direct Call,English,Information Request,Information Provided,,,T,
0,0,0,1,0,2020-04578-INT,INTAKE_RECEIVED,7/9/2020 13:35,,,Health & Safety,,Call from Hotline,English,Complaint,Information Provided,,,B,
0,1,1,0,0,2021-23359-INT,INTAKE_RECEIVED,7/6/2021 9:31,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,G,
0,0,0,1,0,2020-05639-INT,INTAKE_RECEIVED,7/21/2020 17:13,,,Health & Safety,,Call from Hotline,English,Information Request,,,,S,
0,0,0,1,0,2020-05200-INT,INTAKE_RECEIVED,7/16/2020 13:46,,,Health & Safety,,Call from Hotline,English,Complaint,,,,C,
0,0,0,1,0,2020-07893-INT,INTAKE_RECEIVED,8/25/2020 13:44,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,Q,
0,1,1,0,0,2021-24716-INT,INTAKE_RECEIVED,10/22/2021 0:00,10/29/2021 8:30,7,Freelance Isn't Free,Non-pmnt on dates agreed/within 30 days if no agreed date,Email,English,Complaint,Assigned for Review,Matter Created,,R,2021-01170-ENF
0,1,1,0,1,2021-25384-INT,INTAKE_RECEIVED,12/20/2021 0:00,,,Paid Safe and Sick Leave,,Direct Call,English,Information Request,Information Provided,,,A,
0,0,0,1,0,2020-10579-INT,INTAKE_RECEIVED,10/1/2020 0:00,3/2/2021 17:51,152,Freelance Isn't Free,Non-pmnt on dates agreed/within 30 days if no agreed date,Email,English,Complaint,Assigned for Review,,,Q,2021-00792-ENF
0,1,0,1,0,2021-15701-INT,INTAKE_RECEIVED,1/6/2021 10:26,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,C,
0,0,0,0,0,2020-01665-INT,INTAKE_RECEIVED,4/7/2020 0:00,,,Other,,Email,English,Information Request,Information Provided,,,L,
0,1,0,1,0,2021-18898-INT,INTAKE_RECEIVED,3/8/2021 14:34,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,B,
0,0,0,0,0,2020-01767-INT,INTAKE_RECEIVED,4/15/2020 0:00,,,Health & Safety,,E-form from Mayor's Office,English,Information Request,Information Provided,,,R,
0,0,0,0,0,2020-01513-INT,INTAKE_RECEIVED,4/2/2020 0:00,,,Health & Safety,,Email,English,Information Request,Information Provided,,,E,
0,1,1,0,0,2021-23970-INT,INTAKE_RECEIVED,8/17/2021 15:39,9/1/2021 10:55,15,Paid Safe and Sick Leave,Failed to maintain adequate policy,Email,English,Complaint,Assigned for Review,Intake Linked to Existing Matter,,E,2021-01064-ENF
0,0,0,0,0,2020-01304-INT,INTAKE_RECEIVED,4/2/2020 10:44,,,Paid Safe and Sick Leave,,Email,English,Information Request,Information Provided,,,M,
0,0,0,1,0,2020-10575-INT,INTAKE_RECEIVED,10/5/2020 15:16,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,P,
0,1,1,0,1,2021-25299-INT,INTAKE_RECEIVED,12/16/2021 9:32,,,Health & Safety,,,English,Information Request,Information Provided,,,G,
0,1,1,0,0,2021-24750-INT,INTAKE_RECEIVED,11/1/2021 17:36,,,Other,,Direct Call,English,Information Request,Referral Provided,,,F,
0,0,0,0,0,2020-02356-INT,INTAKE_RECEIVED,5/27/2020 17:07,,,Paid Safe and Sick Leave,,Email,English,Information Request,Information Provided,,,R,
0,0,0,0,0,2020-02532-INT,INTAKE_RECEIVED,6/9/2020 10:39,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,E,
0,0,0,1,0,2020-15199-INT,INTAKE_RECEIVED,12/22/2020 9:49,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,D,
0,0,0,0,0,2020-01583-INT,INTAKE_RECEIVED,4/1/2020 0:00,,,Health & Safety,,Email,English,Information Request,Information Provided,,,Q,
0,0,0,0,0,2020-00611-INT,INTAKE_RECEIVED,3/10/2020 0:00,3/18/2020 16:24,8,Freelance Isn't Free,Non-pmnt on dates agreed/within 30 days if no agreed date,Email,English,Complaint,Information Provided,Matter Created,,G,2020-00184-ENF
0,0,0,0,0,2020-03105-INT,INTAKE_RECEIVED,6/18/2020 9:05,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,W,
0,0,0,1,0,2020-09923-INT,INTAKE_RECEIVED,9/24/2020 10:01,,,Other,,Call from Hotline,English,Information Request,,,,R,
0,0,0,1,0,2020-08354-INT,INTAKE_RECEIVED,9/1/2020 13:02,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,M,
0,1,0,1,0,2021-15990-INT,INTAKE_RECEIVED,1/11/2021 11:30,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,E,
0,0,0,0,0,2020-02860-INT,INTAKE_RECEIVED,6/12/2020 16:56,,,Paid Safe and Sick Leave,,Call from Hotline,English,Information Request,,,,L,
0,1,0,1,0,2021-15852-INT,INTAKE_RECEIVED,1/7/2021 16:10,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,P,
0,1,0,1,0,2021-17985-INT,INTAKE_RECEIVED,2/16/2021 15:15,,,Health & Safety,,Call from Hotline,English,Complaint,,,,G,
0,0,0,1,0,2020-10973-INT,INTAKE_RECEIVED,10/9/2020 14:43,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,S,
0,1,0,1,0,2021-18661-INT,INTAKE_RECEIVED,3/3/2021 12:48,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,O,
0,1,0,1,0,2021-20695-INT,INTAKE_RECEIVED,4/15/2021 17:25,,,Wage & Hour,,Email,English,Information Request,,,,G,
0,0,0,1,0,2020-13521-INT,INTAKE_RECEIVED,11/23/2020 9:34,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,Z,
0,0,0,1,0,2020-06460-INT,INTAKE_RECEIVED,7/31/2020 16:34,,,Health & Safety,,Call from Hotline,English,Information Request,,,,Q,
0,0,0,1,0,2020-10718-INT,INTAKE_RECEIVED,10/7/2020 12:13,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,S,
0,1,1,0,1,2021-24962-INT,INTAKE_RECEIVED,11/18/2021 0:00,11/19/2021 9:48,1,Freelance Isn't Free,,Email,English,Complaint,Assigned for Review,Matter Created,,D,2021-01204-ENF
1,0,1,0,1,2022-25811-INT,INTAKE_RECEIVED,1/6/2022 13:59,,,Paid Safe and Sick Leave,,Email,English,Information Request,Information Provided,,,P,
0,0,0,1,0,2020-07104-INT,INTAKE_RECEIVED,8/10/2020 0:00,,,Fair Workweek,,Email,English,Information Request,Information Provided,,,S,
0,1,0,1,0,2021-19795-INT,INTAKE_RECEIVED,3/23/2021 0:00,,,Paid Safe and Sick Leave,,Email,English,Information Request,,,,Y,
0,1,1,0,0,2021-24338-INT,INTAKE_RECEIVED,9/23/2021 14:58,,,Living Wage,,Call from 311,English,Information Request,,,,G,
0,0,0,0,0,2020-01453-INT,INTAKE_RECEIVED,3/31/2020 0:00,4/10/2020 10:44,10,Freelance Isn't Free,Non-pmnt on dates agreed/within 30 days if no agreed date,Email,English,Information Request,Assigned for Review,Matter Created,,U,2020-00248-ENF
0,1,1,0,0,2021-24244-INT,INTAKE_RECEIVED,9/15/2021 11:54,,,Paid Safe and Sick Leave,,Direct Call,English,Information Request,Information Provided,Decision Made Not to Docket,,T,
0,0,0,0,0,2020-01077-INT,INTAKE_RECEIVED,3/24/2020 0:00,,,Paid Safe and Sick Leave,,Email,English,Information Request,Assigned for Review,Decision Made Not to Docket,,G,
0,1,0,1,0,2021-23133-INT,INTAKE_RECEIVED,6/25/2021 15:14,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,H,
0,1,0,1,0,2021-22272-INT,INTAKE_RECEIVED,5/27/2021 12:23,8/17/2021 13:59,82,Paid Safe and Sick Leave,Did not pay for use,Email,English,Complaint,Assigned for Review,Matter Created,,I,2021-01058-ENF
0,0,0,1,0,2020-05963-INT,INTAKE_RECEIVED,7/24/2020 0:00,,,Wage & Hour,,Email,English,Information Request,Information Provided,,,F,
0,0,0,1,0,2020-12102-INT,INTAKE_RECEIVED,10/28/2020 11:49,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,U,
0,1,0,1,0,2021-15889-INT,INTAKE_RECEIVED,1/8/2021 11:19,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,I,
0,0,0,1,0,2020-08749-INT,INTAKE_RECEIVED,9/8/2020 14:58,,,Wage & Hour,,Call from 311,Spanish,Information Request,Information Provided,,,T,
0,0,0,1,0,2020-11154-INT,INTAKE_RECEIVED,10/14/2020 11:45,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,Z,
0,0,0,0,0,2020-00945-INT,INTAKE_RECEIVED,3/25/2020 13:53,,,Freelance Isn't Free,,Call from 311,English,Information Request,Information Provided,,,I,
0,0,0,1,0,2020-06329-INT,INTAKE_RECEIVED,7/30/2020 14:39,,,Health & Safety,,Direct Call,English,Information Request,Information Provided,,,U,
0,1,0,1,0,2021-22968-INT,INTAKE_RECEIVED,6/22/2021 10:43,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,U,
0,0,0,0,0,2020-02908-INT,INTAKE_RECEIVED,6/15/2020 13:02,,,Paid Safe and Sick Leave,,Call from 311,English,Information Request,,,,V,
0,0,0,1,0,2020-14702-INT,INTAKE_RECEIVED,12/10/2020 16:32,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,V,
0,0,0,1,0,2020-06571-INT,INTAKE_RECEIVED,8/3/2020 17:33,,,Unemployment Insurance,,Call from Hotline,English,Information Request,,,,G,
0,1,1,0,1,2021-24913-INT,INTAKE_RECEIVED,11/16/2021 9:56,11/19/2021 9:30,3,Freelance Isn't Free,Non-pmnt on dates agreed/within 30 days if no agreed date,Email,English,Complaint,Assigned for Review,Matter Created,,F,2021-01200-ENF
0,0,0,1,0,2020-07296-INT,INTAKE_RECEIVED,8/13/2020 14:20,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,U,
0,1,0,1,0,2021-16748-INT,INTAKE_RECEIVED,1/25/2021 12:59,,,Other,,Call from Hotline,English,Information Request,,,,P,
0,0,0,0,0,2020-01116-INT,INTAKE_RECEIVED,3/26/2020 0:00,,,Paid Safe and Sick Leave,,Email,English,Information Request,Information Provided,,,T,
0,0,0,1,0,2020-10691-INT,INTAKE_RECEIVED,10/7/2020 10:46,,,Health & Safety,,Call from Hotline,English,Complaint,Information Provided,,,E,
0,0,0,1,0,2020-14233-INT,INTAKE_RECEIVED,12/3/2020 15:53,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,Z,
1,0,1,0,1,2022-26530-INT,INTAKE_RECEIVED,2/2/2022 14:31,,,Freelance Isn't Free,,Email,English,Information Request,Information Provided,,,P,
0,0,0,0,0,2020-01590-INT,INTAKE_RECEIVED,4/3/2020 0:00,4/10/2020 11:25,7,Freelance Isn't Free,Changing the scope or nature of work after it began,Email,English,Complaint,Information Provided,Matter Created,,I,2020-00252-ENF
0,1,0,1,0,2021-22508-INT,INTAKE_RECEIVED,6/4/2021 13:37,8/5/2021 14:27,62,Fair Workweek,Fast Food: Failed to provide “premium pay”,Email,English,Complaint,Information Provided,Matter Created,,S,2021-01035-ENF
0,0,0,0,0,2020-02493-INT,INTAKE_RECEIVED,6/8/2020 16:36,,,Freelance Isn't Free,,Email,English,Information Request,Information Provided,,,G,
0,0,0,1,0,2020-07717-INT,INTAKE_RECEIVED,8/21/2020 12:11,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,D,
0,1,1,0,1,2021-25407-INT,INTAKE_RECEIVED,12/21/2021 0:00,,,Wage & Hour,,Email,English,Information Request,Information Provided,Decision Made Not to Docket,,U,
0,0,0,0,0,2020-00909-INT,INTAKE_RECEIVED,3/23/2020 0:00,,,Paid Safe and Sick Leave,,Email,English,Information Request,Information Provided,,,A,
0,1,0,1,0,2021-22882-INT,INTAKE_RECEIVED,6/18/2021 9:42,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,I,
0,0,0,1,0,2020-06796-INT,INTAKE_RECEIVED,8/6/2020 8:45,3/11/2021 16:06,217,Paid Safe and Sick Leave,Did not provide notice,Email,English,Information Request,Information Provided,Matter Created,,W,2021-00804-ENF
0,0,0,1,0,2020-09586-INT,INTAKE_RECEIVED,9/18/2020 12:29,9/24/2020 16:40,6,Freelance Isn't Free,Non-pmnt on dates agreed/within 30 days if no agreed date,Email,English,Complaint,Assigned for Review,Matter Created,,B,2020-00584-ENF
0,0,0,1,0,2020-14243-INT,INTAKE_RECEIVED,12/3/2020 16:35,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,B,
0,1,0,1,0,2021-20695-INT,INTAKE_RECEIVED,4/15/2021 17:25,,,Health & Safety,,Email,English,Information Request,,,,R,
0,0,0,1,0,2020-04684-INT,INTAKE_RECEIVED,7/10/2020 12:03,,,Health & Safety,,Call from Hotline,English,Information Request,Information Provided,,,T,
0,0,0,1,0,2020-06763-INT,INTAKE_RECEIVED,8/5/2020 15:45,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,V,
0,1,0,1,0,2021-16485-INT,INTAKE_RECEIVED,1/19/2021 15:31,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,U,
0,1,1,0,0,2021-23934-INT,INTAKE_RECEIVED,8/13/2021 14:13,,,Wage & Hour,,Direct Call,English,Information Request,Information Provided,Decision Made Not to Docket,,J,
0,0,0,0,0,2020-03948-INT,INTAKE_RECEIVED,7/1/2020 12:03,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,V,
0,1,1,0,0,2021-23748-INT,INTAKE_RECEIVED,7/23/2021 10:36,,,Other,,Call from Hotline,English,Information Request,Information Provided,,,N,
0,0,0,0,0,2020-00969-INT,INTAKE_RECEIVED,3/18/2020 0:00,,,Other,,Email,English,Information Request,Information Provided,,,M,
0,1,1,0,0,2021-23867-INT,INTAKE_RECEIVED,8/6/2021 11:20,,,Other,,Direct Call,English,Information Request,Referral Provided,Decision Made Not to Docket,,Z,
